stage	trans
G43	TRINITY_DN125069_c0_g6_i1
G43	TRINITY_DN125179_c9_g1_i5
G43	TRINITY_DN125215_c1_g2_i2
G43	TRINITY_DN125260_c4_g2_i1
G43	TRINITY_DN125283_c2_g1_i1
G43	TRINITY_DN125283_c2_g2_i5
G43	TRINITY_DN125325_c0_g1_i1
G43	TRINITY_DN125402_c0_g1_i1
G43	TRINITY_DN125647_c1_g1_i1
G43	TRINITY_DN125657_c3_g1_i2
G43	TRINITY_DN125690_c0_g1_i2
G43	TRINITY_DN125692_c0_g1_i3
G43	TRINITY_DN125887_c3_g1_i4
G43	TRINITY_DN125926_c1_g1_i3
G43	TRINITY_DN126004_c0_g1_i11
G43	TRINITY_DN126030_c3_g1_i7
G43	TRINITY_DN12609_c0_g1_i1
G43	TRINITY_DN126125_c1_g1_i1
G43	TRINITY_DN126223_c1_g1_i11
G43	TRINITY_DN126257_c4_g1_i1
G43	TRINITY_DN126294_c0_g2_i6
G43	TRINITY_DN126388_c0_g1_i3
G43	TRINITY_DN126388_c0_g3_i1
G43	TRINITY_DN126601_c1_g1_i1
G43	TRINITY_DN126624_c5_g1_i14
G43	TRINITY_DN126633_c5_g1_i1
G43	TRINITY_DN126701_c6_g1_i1
G43	TRINITY_DN126718_c0_g1_i12
G43	TRINITY_DN126757_c3_g2_i2
G43	TRINITY_DN126963_c5_g1_i2
G43	TRINITY_DN126974_c3_g1_i4
G43	TRINITY_DN127141_c0_g1_i1
G43	TRINITY_DN127270_c2_g1_i4
G43	TRINITY_DN127280_c0_g1_i3
G43	TRINITY_DN127312_c4_g1_i1
G43	TRINITY_DN127332_c4_g1_i4
G43	TRINITY_DN127387_c1_g3_i2
G43	TRINITY_DN127429_c1_g3_i2
G43	TRINITY_DN127474_c0_g1_i1
G43	TRINITY_DN127837_c3_g1_i3
G43	TRINITY_DN127888_c5_g1_i1
G43	TRINITY_DN127905_c3_g4_i1
G43	TRINITY_DN127943_c0_g1_i8
G43	TRINITY_DN127996_c1_g2_i1
G43	TRINITY_DN128099_c1_g1_i3
G43	TRINITY_DN128107_c0_g1_i1
G43	TRINITY_DN128108_c0_g1_i1
G43	TRINITY_DN128135_c3_g3_i2
G43	TRINITY_DN128153_c4_g2_i7
G43	TRINITY_DN128200_c2_g3_i2
G43	TRINITY_DN128218_c0_g1_i1
G43	TRINITY_DN128250_c2_g1_i3
G43	TRINITY_DN128251_c4_g1_i2
G43	TRINITY_DN128293_c4_g1_i1
G43	TRINITY_DN128296_c6_g4_i6
G43	TRINITY_DN128473_c0_g2_i1
G43	TRINITY_DN128668_c0_g1_i2
G43	TRINITY_DN128757_c4_g2_i1
G43	TRINITY_DN128797_c0_g4_i1
G43	TRINITY_DN128856_c1_g1_i3
G43	TRINITY_DN128941_c1_g1_i1
G43	TRINITY_DN128969_c0_g1_i1
G43	TRINITY_DN128981_c7_g1_i2
